Date,Twitter Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count
4/15/24,1659,170.24,170.69,161.38,161.48,41,-402
4/12/24,1787,172.34,173.8099,170.3644,171.05,99,-159
4/11/24,2019,172.55,175.88,168.51,174.6,76,-185
4/10/24,2171,173.04,174.93,170.01,171.76,160,-271
4/9/24,2576,172.91,179.22,171.92,176.88,166,-448
4/8/24,1909,169.34,174.5,167.79,172.98,112,-171
4/5/24,2713,169.08,170.86,160.51,164.9,213,-307
4/4/24,3187,170.07,177.19,168.01,171.11,217,-533
4/3/24,4437,164.02,168.82,163.28,168.38,264,-1400
4/2/24,2068,164.75,167.69,163.43,166.63,180,-289
4/1/24,1276,176.17,176.75,170.21,175.22,98,-120
3/29/24,1577,,,,,100,-179
3/28/24,1539,177.45,179.57,175.3,175.79,112,-141
3/27/24,1783,181.41,181.91,176,179.83,200,-132
3/26/24,1801,178.58,184.25,177.38,177.67,108,-145
3/25/24,1098,168.76,175.24,168.73,172.63,45,-118
3/22/24,1625,166.69,171.2,166.3,170.83,97,-229
3/21/24,1468,176.39,178.18,171.8,172.82,111,-148
3/20/24,1374,173,176.25,170.82,175.66,73,-166
3/19/24,2085,172.36,172.82,167.42,171.32,239,-201
3/18/24,1236,170.02,174.72,165.9,173.8,79,-164
3/15/24,2639,163.16,165.1845,160.76,163.57,171,-494
3/14/24,3023,167.77,171.17,160.51,162.5,174,-600
3/13/24,1713,173.05,176.05,169.15,169.48,97,-305
3/12/24,1764,177.77,179.43,172.4101,177.54,101,-267
3/11/24,1091,175.445,182.87,174.8,177.77,54,-106
3/8/24,1999,181.5,182.73,174.7,175.34,158,-245
3/7/24,2419,174.35,180.04,173.7,178.65,115,-463
3/6/24,2738,179.99,181.576,173.7,176.54,122,-784
3/5/24,2738,183.05,184.59,177.57,180.74,145,-736
3/4/24,1121,198.73,199.75,186.72,188.14,54,-136
3/1/24,1859,200.52,204.52,198.5,202.64,98,-152
2/29/24,1616,204.18,205.28,198.4463,201.88,89,-90
2/28/24,1979,200.42,205.3,198.44,202.04,132,-119
2/27/24,1571,204.04,205.6,198.26,199.73,162,-96
2/26/24,1064,192.29,201.78,192,199.4,54,-97
2/23/24,1513,195.31,197.57,191.5,191.97,89,-156
2/22/24,1519,194,198.32,191.36,197.41,117,-142
2/21/24,1387,193.36,199.44,191.95,194.77,88,-168
2/20/24,1129,196.13,198.6,189.13,193.76,63,-121
2/19/24,925,,,,,39,-94
2/16/24,1969,202.06,203.17,197.4,199.95,213,-161
2/15/24,1774,189.16,200.88,188.8595,200.45,129,-136
2/14/24,1607,185.3,188.89,183.35,188.71,106,-175
2/13/24,1642,183.99,187.26,182.1087,184.02,129,-192
2/12/24,1208,192.11,194.73,187.28,188.13,71,-140
2/9/24,1368,190.18,194.12,189.48,193.57,97,-121
2/8/24,1915,189,191.6171,185.58,189.56,123,-198
2/7/24,2041,188.18,189.79,182.68,187.58,180,-268
2/6/24,2672,177.21,186.49,177.11,185.1,162,-506
2/5/24,1405,184.26,184.68,175.01,181.06,74,-185
2/2/24,2395,185.04,188.69,182,187.91,143,-369
2/1/24,2656,188.5,189.88,184.28,188.86,106,-409
1/31/24,3355,186.995,193.97,185.8459,187.29,173,-776
1/30/24,2050,195.33,196.3593,190.61,191.59,250,-251
1/29/24,1453,185.63,191.48,183.67,190.93,97,-234
1/26/24,5153,185.5,186.78,182.1,183.25,451,-1189
1/25/24,6148,189.7,193,180.06,182.63,546,-1057
1/24/24,2198,211.88,212.73,206.77,207.83,163,-162
1/23/24,1965,211.3,215.65,207.7516,209.14,150,-251
1/22/24,1338,212.26,217.8,206.27,208.8,70,-156
1/19/24,2065,209.99,213.19,207.56,212.19,91,-273
1/18/24,2191,216.88,217.45,208.74,211.88,76,-361
1/17/24,2787,214.86,215.67,212.01,215.55,151,-345
1/16/24,2129,215.1,223.49,212.18,219.91,87,-207
1/15/24,1072,,,,,49,-126
1/12/24,2680,220.08,225.34,217.1501,218.89,151,-493
1/11/24,1641,230.57,230.93,225.37,227.22,119,-140
1/10/24,1497,235.1,235.5,231.29,233.94,96,-165
1/9/24,1493,238.11,238.9646,232.04,234.96,113,-143
1/8/24,1239,236.14,241.25,235.3,240.45,63,-126
1/5/24,1627,236.86,240.1196,234.9001,237.49,158,-224
1/4/24,1954,239.25,242.7,237.73,237.93,310,-260
1/3/24,3064,244.98,245.68,236.32,238.45,747,-308
1/2/24,1301,250.08,251.25,244.41,248.42,127,-142
1/1/24,877,,,,,61,-72
12/29/23,2008,255.1,255.19,247.43,248.48,141,-238
12/28/23,2340,263.66,265.13,252.71,253.18,235,-281
12/27/23,1690,258.35,263.34,257.52,261.44,158,-201
12/26/23,733,254.49,257.97,252.91,256.61,45,-92
12/25/23,771,,,,,26,-134
12/22/23,1864,256.76,258.22,251.37,252.54,150,-249
12/21/23,1882,251.9,254.7999,248.55,254.5,118,-389
12/20/23,1931,256.41,259.84,247,247.14,126,-226
12/19/23,1689,253.48,258.3399,253.01,257.22,117,-162
12/18/23,1108,253.78,258.74,251.36,252.08,37,-182
12/15/23,2071,251.21,254.13,248.3,253.5,176,-354
12/14/23,3755,241.22,253.88,240.79,251.05,115,-1407
12/13/23,2185,234.19,240.3,228.2,239.29,88,-447
12/12/23,1394,238.55,238.99,233.87,237.01,68,-157
12/11/23,1030,242.74,243.441,237.45,239.74,26,-94
12/8/23,1472,240.27,245.27,239.2701,243.84,78,-157
12/7/23,1531,241.55,244.08,236.98,242.64,91,-174
12/6/23,1725,242.92,246.57,239.1709,239.37,139,-180
12/5/23,1469,233.87,246.66,233.7,238.72,91,-228
12/4/23,1040,235.75,239.3733,233.2902,235.58,57,-62
12/1/23,3253,233.14,240.19,231.9,238.83,119,-236
11/30/23,1785,245.14,245.22,236.91,240.08,97,-130
11/29/23,1977,249.21,252.75,242.76,244.14,198,-145
11/28/23,1805,236.68,247,234.01,246.72,128,-233
11/27/23,1052,236.89,238.33,232.1,236.08,41,-124
11/24/23,899,233.75,238.75,232.33,235.45,24,-115
11/23/23,1782,,,,,88,-222
11/22/23,1668,242.04,244.01,231.4,234.21,129,-155
11/21/23,1540,235.04,243.62,233.34,241.2,125,-140
11/20/23,804,234.04,237.1,231.02,235.6,57,-75
11/17/23,1803,232,237.39,226.54,234.3,82,-199
11/16/23,1722,239.49,240.88,230.96,233.59,116,-106
11/15/23,1674,239.29,246.7,236.45,242.84,194,-104
11/14/23,1938,235.03,238.135,230.72,237.41,199,-156
