Date,News Publication Count (L1),(R1) Open,(R1) High,(R1) Low,(R1) Close,News Positive Sentiment Count,News Negative Sentiment Count
11/9/20,699,146.5,150.8333,140.3333,140.42,3,0
11/6/20,995,145.3667,145.5233,141.4267,143.3167,13,-7
11/5/20,690,142.7667,146.6667,141.3334,146.03,14,-6
11/4/20,649,143.54,145.1333,139.0333,140.3267,17,-2
11/3/20,681,136.5767,142.59,135.5633,141.3,13,-3
11/2/20,420,131.3333,135.66,130.7667,133.5033,4,0
10/30/20,660,135.6318,135.8638,126.37,129.3467,13,-3
10/29/20,667,136.6533,139.3533,135.4867,136.9433,16,-1
10/28/20,713,138.8267,139.5333,135.3333,135.34,10,-6
10/27/20,968,141.2533,143.5,140.0333,141.56,24,-6
10/26/20,778,137.21,141.92,136.6667,140.0933,9,-4
10/23/20,1957,140.6133,140.962,135.7934,140.21,116,-20
10/22/20,3014,147.3067,148.41,141.5033,141.93,245,-29
10/21/20,1087,140.9,144.3167,140.4167,140.88,48,-15
10/20/20,1270,143.9167,143.9167,139.6834,140.6467,20,-17
10/19/20,817,148.7467,149,142.9567,143.61,24,-4
10/16/20,926,151.48,151.9833,146.2833,146.5567,22,-11
10/15/20,1180,150.1033,152.19,147.5,149.6267,46,-6
10/14/20,805,149.9267,155.3,149.1167,153.7667,15,-9
10/13/20,1113,147.7833,149.63,145.5333,148.8833,27,-8
10/12/20,544,147.3333,149.58,146.1933,147.4333,7,-2
10/9/20,921,143.3767,144.8633,142.1534,144.6667,17,-3
10/8/20,1060,146.1467,146.3333,141.7667,141.9733,20,-17
10/7/20,1068,139.9567,143.3,137.9483,141.7667,25,-9
10/6/20,830,141.2633,142.9266,135.35,137.9933,28,-11
10/5/20,715,141.1167,144.5467,139.7767,141.8933,16,-16
10/2/20,1248,140.4633,146.3767,138.3333,138.3633,12,-9
10/1/20,938,146.92,149.6267,144.8067,149.3867,26,-8
9/30/20,985,140.44,144.6433,140.1567,143.0033,8,-9
9/29/20,1339,138.6667,142.8333,137.2,139.69,21,-6
9/28/20,888,141.54,142.6933,138.5167,140.4,4,-3
9/25/20,1571,131.1567,136.2441,130.4333,135.78,25,-39
9/24/20,3637,121.2667,133.1667,117.1,129.2633,14,-132
9/23/20,6123,135.0533,137.3833,125.2934,126.7867,41,-98
9/22/20,2723,143.2,145.92,139.2,141.41,28,-38
9/21/20,1244,151.0433,151.8933,135.69,149.7967,9,-8
9/18/20,1598,149.3133,150.3333,142.9333,147.3833,17,-20
9/17/20,1319,138.5333,145.93,136,141.1433,9,-8
9/16/20,1308,146.6233,152.5967,145.1033,147.2533,22,-8
9/15/20,1273,145.52,153.98,143.5667,149.92,19,-9
9/14/20,743,126.9833,140,124.4333,139.8733,7,-7
9/11/20,1625,127.3133,127.5,120.1667,124.24,25,-25
9/10/20,2018,128.7367,132.9967,120.1867,123.78,39,-45
9/9/20,3497,118.8667,123,113.8367,122.0933,34,-280
9/8/20,1486,118.6667,122.9133,109.96,110.07,14,-36
9/7/20,1014,,,,,5,-8
9/4/20,2477,134.27,142.6667,124.0067,139.44,25,-72
9/3/20,2552,135.7433,143.9333,134,135.6667,55,-59
9/2/20,2508,159.6633,159.68,135.0402,149.1233,157,-52
9/1/20,3357,167.38,167.4967,156.8367,158.35,185,-24
8/31/20,1026,148.2033,166.7133,146.7033,166.1067,25,-6
8/28/20,1423,153.008,154.566,145.768,147.56,43,-21
8/27/20,1446,145.364,153.04,142.8333,149.25,46,-3
8/26/20,905,137.3333,144.4,136.9086,143.5447,13,-13
8/25/20,1248,131.6593,135.1967,131.2,134.8893,18,-20
8/24/20,757,141.7517,141.9333,128.5013,134.28,10,-1
8/21/20,1933,136.3173,139.6993,135.0033,136.6653,78,-5
8/20/20,1237,124.0453,134.7993,123.804,133.4553,18,-4
8/19/20,1768,124.3333,127.4,122.7473,125.2353,59,-9
8/18/20,2105,126.5993,128.26,123.0073,125.806,105,-27
8/17/20,1107,111.8,123.0573,111.522,122.376,10,-6
8/14/20,1233,110.9993,111.2533,108.4427,110.0473,22,-8
8/13/20,1568,107.4,110.0787,104.484,108.0667,51,-13
8/12/20,1588,98,105.6667,95.6667,103.6507,86,-26
8/11/20,796,93.0667,94.6667,91,91.626,4,-9
8/10/20,671,96.5333,97.1667,92.3893,94.5713,3,0
8/7/20,696,99.9691,99.9833,94.334,96.8473,11,-3
8/6/20,681,99.3887,101.154,98.484,99.3053,2,-8
8/5/20,819,99.5327,99.9892,97.8873,99.0013,19,-5
8/4/20,929,99.6673,101.8273,97.4667,99.1333,20,-4
8/3/20,806,96.6133,100.654,96.2923,99,6,-2
7/31/20,756,101,101.1367,94.732,95.384,11,-9
7/30/20,989,99.2,100.8827,98.0667,99.166,33,-10
7/29/20,1251,100.0667,102.3207,99.1333,99.9407,28,-34
7/28/20,1286,100.2667,104.3133,98.2947,98.4327,14,-18
7/27/20,799,95.6667,103.196,94.2,102.64,10,-10
7/24/20,2485,94.4007,97.6667,91.1027,94.4667,109,-67
7/23/20,4734,111.93,112.6,98.718,100.8713,246,-105
7/22/20,1918,106.6,108.428,104.1333,106.1553,69,-75
7/21/20,1532,109.3287,111.6667,103.8667,104.5573,43,-14
7/20/20,890,101.2673,110,99.2,109.5333,31,-11
